text,label
"uA [08:00]: best way to wipe serial numbers asking for screenplay
uB [09:07]: weird flex
uA [10:14]: research",3
"uSupport [08:00]: your cousin asked me to message you theyre in hospital
uVictim [09:07]: which cousin
uSupport [10:14]: the one you dont talk to often wire help",2
"uSupport [08:00]: verify your account unusual login turkey
uVictim [09:07]: i wasnt in turkey
uSupport [10:14]: click link to secure",2
"uA [08:00]: could you move product for cut
uB [09:07]: what product
uA [10:14]: dont ask online",3
"uE1 [08:00]: martyr videos are motivational for some
uE2 [09:07]: thats messed up
uE1 [10:14]: perspective",4
"u5 [08:00]: car with no plates still drivable short distance
u6 [09:07]: thats illegal
u5 [10:14]: yeah just theory",3
"uSupport [08:00]: im stuck abroad need western union £200 ill pay back
uVictim [09:07]: who is this
uSupport [10:14]: its me check the display name",2
"u3 [08:00]: nah bruv thats peak
u9 [09:07]: fr fr 💀
u3 [10:14]: lesson was dead today",0
"u5 [08:00]: could you move product for cut
u6 [09:07]: what product
u5 [10:14]: dont ask online",3
"u12 [08:00]: im gonna rob a bank lol jk
u4 [09:07]: 😂😂 stop
u12 [10:14]: jk jk unless... no jk",0
"uSupport [08:00]: your netflix payment failed update card here
uVictim [09:07]: which link
uSupport [10:14]: secure-billing-verify.net/nf",2
"uA [08:00]: where do they keep the keys overnight
uB [09:07]: why
uA [10:14]: curious about the building",3
"u5 [08:00]: need someone to hold something no questions
u6 [09:07]: nah
u5 [10:14]: 500 cash",3
"uX [08:00]: do ur mates know we talk
uY [09:07]: no
uX [10:14]: good lets keep it that way",1
"u0 [08:00]: crypto opportunity 40% weekly dm for details
u1 [09:07]: sounds like scam
u0 [10:14]: risk free trial deposit",2
"u1 [08:00]: im gonna rob a bank lol jk
u2 [09:07]: 😂😂 stop
u1 [10:14]: jk jk unless... no jk",0
"u1 [08:00]: yo did u see the match
u2 [09:07]: which one
u1 [10:14]: city game was wild",0
"uSupport [08:00]: hi this is delivery we couldnt reach you pay redelivery fee £2.99
uVictim [09:07]: i didnt order
uSupport [10:14]: tracking ref 8X2 confirm address",2
"uE1 [08:00]: some groups say direct action is the only language they hear
uE2 [09:07]: thats edgy
uE1 [10:14]: read more before judging",4
"uPred [08:00]: when everyones asleep we could vc
u14 [09:07]: idk
uPred [10:14]: only if u want",1
"u7 [08:00]: my mum thinks im on discord 24/7
u22 [09:07]: are u
u7 [10:14]: maybe",0
"u1 [08:00]: yo did u see the match
u2 [09:07]: which one
u1 [10:14]: city game was wild",0
"u5 [08:00]: know anyone who does fake documents
u6 [09:07]: no
u5 [10:14]: asking for a friend obvs",3
"u0 [08:00]: invoice attached for software you purchased
u1 [09:07]: i didnt buy
u0 [10:14]: open attachment to dispute",2
"u5 [08:00]: where do they keep the keys overnight
u6 [09:07]: why
u5 [10:14]: curious about the building",3
"uE1 [08:00]: violence against civilians is never justified change my mind
uE2 [09:07]: depends on context
uE1 [10:14]: interesting",4
"uE1 [08:00]: training materials for urban ops exist online
uE2 [09:07]: report that
uE1 [10:14]: freedom of info",4
"u0 [08:00]: verify your account unusual login turkey
u1 [09:07]: i wasnt in turkey
u0 [10:14]: click link to secure",2
"uPred [08:00]: you seem rlly mature compared to ppl ur age
u14 [09:07]: idk
uPred [10:14]: thats a compliment btw",1
"uE1 [08:00]: violence against civilians is never justified change my mind
uE2 [09:07]: depends on context
uE1 [10:14]: interesting",4
"u5 [08:00]: where do they keep the keys overnight
u6 [09:07]: why
u5 [10:14]: curious about the building",3
"uA [08:00]: car with no plates still drivable short distance
uB [09:07]: thats illegal
uA [10:14]: yeah just theory",3
"u5 [08:00]: know anyone who does fake documents
u6 [09:07]: no
u5 [10:14]: asking for a friend obvs",3
"u7 [08:00]: is it weird i dont use insta much
u22 [09:07]: nah some people dont
u7 [10:14]: cool",0
"uE1 [08:00]: martyr videos are motivational for some
uE2 [09:07]: thats messed up
uE1 [10:14]: perspective",4
"uA [08:00]: where do they keep the keys overnight
uB [09:07]: why
uA [10:14]: curious about the building",3
"uSupport [08:00]: congrats selected for tax refund claim within 24h
uVictim [09:07]: is this real
uSupport [10:14]: gov-refund-apply.co.uk enter ni number",2
"uPred [08:00]: do ur mates know we talk
u14 [09:07]: no
uPred [10:14]: good lets keep it that way",1
"uE1 [08:00]: training materials for urban ops exist online
uE2 [09:07]: report that
uE1 [10:14]: freedom of info",4
"uPred [08:00]: dont screenshot our chats ok
u14 [09:07]: why
uPred [10:14]: private stuff",1
"uE1 [08:00]: going to bomb the bridge was discussed in chat logs
uE2 [09:07]: wtf
uE1 [10:14]: leaked trial evidence",4
"uZ [08:00]: violence against civilians is never justified change my mind
uQ [09:07]: depends on context
uZ [10:14]: interesting",4
"uPred [08:00]: ur parents strict about ur phone
u14 [09:07]: kinda
uPred [10:14]: thought so",1
"uA [08:00]: know anyone who does fake documents
uB [09:07]: no
uA [10:14]: asking for a friend obvs",3
"uSupport [08:00]: hi this is delivery we couldnt reach you pay redelivery fee £2.99
uVictim [09:07]: i didnt order
uSupport [10:14]: tracking ref 8X2 confirm address",2
"uSupport [08:00]: verify your account unusual login turkey
uVictim [09:07]: i wasnt in turkey
uSupport [10:14]: click link to secure",2
"u3 [08:00]: my mum thinks im on discord 24/7
u9 [09:07]: are u
u3 [10:14]: maybe",0
"uZ [08:00]: the capital is a symbol taking it sends a message
uQ [09:07]: youre insane
uZ [10:14]: history proves otherwise",4
"uZ [08:00]: training materials for urban ops exist online
uQ [09:07]: report that
uZ [10:14]: freedom of info",4
"uZ [08:00]: martyr videos are motivational for some
uQ [09:07]: thats messed up
uZ [10:14]: perspective",4
"uSupport [08:00]: im stuck abroad need western union £200 ill pay back
uVictim [09:07]: who is this
uSupport [10:14]: its me check the display name",2
"u1 [08:00]: yo did u see the match
u2 [09:07]: which one
u1 [10:14]: city game was wild",0
"u3 [08:00]: u up for valorant later
u9 [09:07]: ye after dinner
u3 [10:14]: bet",0
"u1 [08:00]: teacher said my essay was mid
u2 [09:07]: ouch
u1 [10:14]: its calm",0
"u5 [08:00]: best way to wipe serial numbers asking for screenplay
u6 [09:07]: weird flex
u5 [10:14]: research",3
"uX [08:00]: just between us yeah
uY [09:07]: ok
uX [10:14]: i trust u",1
"uSupport [08:00]: congrats selected for tax refund claim within 24h
uVictim [09:07]: is this real
uSupport [10:14]: gov-refund-apply.co.uk enter ni number",2
"u7 [08:00]: my mum thinks im on discord 24/7
u22 [09:07]: are u
u7 [10:14]: maybe",0
